[2026-01-23 23:08:18] info: 	z2m: Logging to console, file (filename: log.log)
[2026-01-23 23:08:19] info: 	z2m: Starting Zigbee2MQTT version 2.7.2 (commit #3a49c95786c2fba749e7696aab4cc38e467d2c4c
)
[2026-01-23 23:08:19] info: 	z2m: Starting zigbee-herdsman (8.0.1)
[2026-01-23 23:08:20] warning: 	zh:ezsp: 'ezsp' driver is deprecated and will only remain to provide support for older firmware (pre 7.4.x). Migration to 'ember' is recommended. If using Zigbee2MQTT see https://github.com/Koenkk/zigbee2mqtt/discussions/21462
[2026-01-23 23:08:25] info: 	z2m: zigbee-herdsman started (resumed)
[2026-01-23 23:08:25] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":"4 ","majorrel":"7","minorrel":"4","product":13,"revision":"7.4.4.5 build 0"},"type":"EZSP v13"}'
[2026-01-23 23:08:25] info: 	z2m: Currently 0 devices are joined.
[2026-01-23 23:08:25] info: 	z2m: Connecting to MQTT server at mqtt://mosquitto:1883
[2026-01-23 23:08:26] error: 	z2m: MQTT failed to connect, exiting... (getaddrinfo ENOTFOUND mosquitto)
[2026-01-23 23:08:26] info: 	z2m: Stopping zigbee-herdsman...
[2026-01-23 23:08:26] info: 	zh:controller: Wrote coordinator backup to '/app/data/coordinator_backup.json'
[2026-01-23 23:08:26] info: 	z2m: Stopped zigbee-herdsman
